Bin_name	Kingdoms	Phylum	Class	Order	Family	Genus	Species 	New
wheatSN2D621.bin1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	 	Yes
wheatSN0D1873.bin7	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Promicromonospora	 	Yes
wheatSN2D72.bin12	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	 	Yes
wheatSN0D1872.bin7	Bacteria	Actinobacteriota	Actinomycetia	Jiangellales	Jiangellaceae	Jiangella	 	Yes
wheatSN2D622.bin7	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	 	Yes
wheatSN2D1871.bin11	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	 	Yes
wheatSN0D71.bin4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 	Yes
wheatSN0D143.bin7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	 	Yes
wheatSN0D143.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	 	Yes
wheatSN0D623.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	ZC4RG30	 	Yes
wheatSN0D1872.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	 	Yes
wheatSN2D1873.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	 	Yes
wheatSN0D142.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	 	Yes
wheatSN2D141.bin2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Candidimonas	 	Yes
wheatSN2D72.bin3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudochrobactrum	 	Yes
wheatSN0D141.bin19	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	 	Yes
wheatSN0D142.bin7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Camelimonas	 	Yes
wheatSN0D1873.bin11	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NIC37A-2	 	Yes
wheatSN2D1871.bin4	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	PMG-095	 	Yes
wheatSN0D141.bin8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	 	Yes
wheatSN0D141.bin20	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	 	Yes
wheatSN2D141.bin15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	 	Yes
wheatSN0D141.bin6	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	 	Yes
wheatSN2D1872.bin3	Bacteria	Bacteroidota	Bacteroidia	AKYH767		Unclassified 	 	Yes
wheatSN2D141.bin11	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	 	Yes
wheatSN2D141.bin1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	 	Yes
wheatSN0D141.bin16	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	 	Yes
